model,feature,regularization,C,auc_mean,auc_std,featureDiscarded_mean,featureDiscarded_std,time_mean,time_std,solver
LR,marriageStatus,l2,1000.0,0.46033297281920565,0.0007956507350101782,,,9.83801531791687,0.3187068003896847,liblinear
LR,marriageStatus,l2,1000000.0,0.46033297281920565,0.0007956507350101782,,,10.21982447306315,0.12544047753171939,liblinear
LR,marriageStatus,l1,1e-06,0.5,0.0,13.0,0.0,3.1990581353505454,0.24294019155332594,liblinear
LR,marriageStatus,l1,0.001,0.46101109507956445,0.0008350990270861848,9.0,0.0,15.664633433024088,0.9466568591265302,liblinear
LR,marriageStatus,l1,1.0,0.460333564925213,0.0007913948427250103,2.3333333333333335,0.4714045207910317,32.32370185852051,2.247371338812556,liblinear
LR,marriageStatus,l1,1000.0,0.4603264036050347,0.0007871759470522848,0.3333333333333333,0.4714045207910317,30.353776295979817,3.1453847968417907,liblinear
LR,marriageStatus,l1,1000000.0,0.4603263153996667,0.0007872196361851236,0.3333333333333333,0.4714045207910317,35.96384406089783,0.8126104785033457,liblinear
LR,interest1,l2,1e-06,0.47294360611271374,0.0002463053716158786,,,10.428588390350342,0.19784685974114663,liblinear
LR,interest1,l2,0.001,0.44753897319126085,0.0005556960195446667,,,27.217737913131714,0.30374917735784435,liblinear
LR,interest1,l2,1.0,0.4468712731873075,0.0004640198938302829,,,41.18262298901876,1.0175294380143471,liblinear
LR,interest1,l2,1000.0,0.44687407396696543,0.00046736779500742225,,,41.422591050465904,0.3650377778463983,liblinear
LR,interest1,l2,1000000.0,0.4468767300760346,0.0004665937479350235,,,41.66895325978597,1.2703539303306897,liblinear
LR,interest1,l1,1e-06,0.5,0.0,123.0,0.0,8.778068939844767,1.006165342541211,liblinear
LR,interest1,l1,0.001,0.4510126509078467,0.00048799321106444456,98.0,0.816496580927726,48.74336369832357,4.332598474760054,liblinear
LR,interest1,l1,1.0,0.44686912495022485,0.00047223941557902297,1.3333333333333333,0.4714045207910317,118.07768821716309,18.03172110576813,liblinear
LR,interest1,l1,1000.0,0.44687164127193707,0.00046525517645134125,0.0,0.0,90.76831364631653,8.079535926433294,liblinear
LR,interest1,l1,1000000.0,0.4468634606190016,0.00047335251195412733,0.0,0.0,112.76550753911336,11.576724895106963,liblinear
LR,interest2,l2,1e-06,0.5295086183201324,0.0005389477113320295,,,7.3899359703063965,0.027990962429263008,liblinear
LR,interest2,l2,0.001,0.3958380874769554,0.000255004111559943,,,17.175647656122845,0.02341297011711376,liblinear
LR,interest2,l2,1.0,0.39581872536885276,0.00023761067198418856,,,35.543492476145424,0.5931474961309625,liblinear
LR,interest2,l2,1000.0,0.3958215963783831,0.00023702834302898927,,,41.058823029200234,0.2568115213208191,liblinear
LR,interest2,l2,1000000.0,0.39583720324268684,0.0002204949481129916,,,41.40366657574972,0.7677462182054462,liblinear
LR,interest2,l1,1e-06,0.5,0.0,81.0,0.0,4.8925407727559405,0.014650401574634785,liblinear
LR,interest2,l1,0.001,0.39702754046175226,0.00016410952857257268,53.333333333333336,1.247219128924647,27.05255691210429,2.827818316896098,liblinear
LR,interest2,l1,1.0,0.3958118336210244,0.0002337750953034758,1.6666666666666667,0.9428090415820634,77.872323513031,25.11254262895601,liblinear
LR,interest2,l1,1000.0,0.39583206678234983,0.0002283361579025291,0.0,0.0,79.10423390070598,13.392033563137597,liblinear
LR,interest2,l1,1000000.0,0.3958180333415852,0.00022626295566182715,0.0,0.0,71.65856647491455,12.618619323064724,liblinear
LR,interest3,l2,1e-06,0.49779901451842307,0.00019425612639240646,,,4.195634285608928,0.01786128927951241,liblinear
LR,interest3,l2,0.001,0.4977986446113962,0.00019504451452613392,,,5.927178939183553,0.017987243442670102,liblinear
LR,interest3,l2,1.0,0.4977959857986966,0.00019420197294838532,,,7.055188099543254,0.02206016262203741,liblinear
LR,interest3,l2,1000.0,0.49779645246425686,0.00019380980679405195,,,7.068398078282674,0.027016812309932723,liblinear
LR,interest3,l2,1000000.0,0.49779645246425686,0.00019380980679405195,,,8.391668637593588,0.28904526214176285,liblinear
LR,interest3,l1,1e-06,0.5,0.0,11.0,0.0,4.952103137969971,1.3927817182439406,liblinear
LR,interest3,l1,0.001,0.4977981202357178,0.00019382366094128925,10.0,0.0,29.6825168132782,5.9824247577731855,liblinear
LR,interest3,l1,1.0,0.49779600402671803,0.0001942937780964897,0.0,0.0,100.84970116615295,36.84399225299951,liblinear
LR,interest3,l1,1000.0,0.49779643927715406,0.00019361501030159135,0.0,0.0,138.24742698669434,12.663738288733752,liblinear
LR,interest3,l1,1000000.0,0.4977964095089633,0.000193555730354036,0.0,0.0,137.66360561052957,10.325687710839274,liblinear
LR,interest4,l2,1e-06,0.49847636978984816,0.00020296891317990313,,,4.144749879837036,0.011317199612303493,liblinear
LR,interest4,l2,0.001,0.49856396379033,0.00029582718238597495,,,6.417491277058919,0.028490729164444194,liblinear
LR,interest4,l2,1.0,0.4984626929853855,0.00019109528158829084,,,6.724973281224568,0.09480336866291714,liblinear
