[291]	train's auc: 0.789237	valid1's auc: 0.734201
[292]	train's auc: 0.789429	valid1's auc: 0.734229
[293]	train's auc: 0.789557	valid1's auc: 0.734224
[294]	train's auc: 0.789709	valid1's auc: 0.734235
[295]	train's auc: 0.789905	valid1's auc: 0.734206
[296]	train's auc: 0.790035	valid1's auc: 0.734198
[297]	train's auc: 0.790158	valid1's auc: 0.734222
[298]	train's auc: 0.790251	valid1's auc: 0.734241
[299]	train's auc: 0.790458	valid1's auc: 0.734232
[300]	train's auc: 0.790544	valid1's auc: 0.734241
[301]	train's auc: 0.790672	valid1's auc: 0.73423
[302]	train's auc: 0.790797	valid1's auc: 0.734258
[303]	train's auc: 0.790878	valid1's auc: 0.734301
[304]	train's auc: 0.791004	valid1's auc: 0.734285
[305]	train's auc: 0.79115	valid1's auc: 0.73427
[306]	train's auc: 0.791364	valid1's auc: 0.734298
[307]	train's auc: 0.791508	valid1's auc: 0.734291
[308]	train's auc: 0.791711	valid1's auc: 0.734266
[309]	train's auc: 0.791815	valid1's auc: 0.734268
[310]	train's auc: 0.791955	valid1's auc: 0.734269
[311]	train's auc: 0.792059	valid1's auc: 0.73426
[312]	train's auc: 0.792143	valid1's auc: 0.734259
[313]	train's auc: 0.792297	valid1's auc: 0.734227
[314]	train's auc: 0.792466	valid1's auc: 0.73422
[315]	train's auc: 0.792521	valid1's auc: 0.734221
[316]	train's auc: 0.792709	valid1's auc: 0.734251
[317]	train's auc: 0.792902	valid1's auc: 0.734256
[318]	train's auc: 0.792969	valid1's auc: 0.734254
[319]	train's auc: 0.793134	valid1's auc: 0.73422
[320]	train's auc: 0.793355	valid1's auc: 0.734213
[321]	train's auc: 0.79351	valid1's auc: 0.734194
[322]	train's auc: 0.793644	valid1's auc: 0.734186
[323]	train's auc: 0.793734	valid1's auc: 0.734172
[324]	train's auc: 0.793915	valid1's auc: 0.734169
[325]	train's auc: 0.79404	valid1's auc: 0.734161
[326]	train's auc: 0.79415	valid1's auc: 0.734168
[327]	train's auc: 0.794264	valid1's auc: 0.734157
[328]	train's auc: 0.794388	valid1's auc: 0.734143
[329]	train's auc: 0.794517	valid1's auc: 0.734137
[330]	train's auc: 0.794652	valid1's auc: 0.734141
[331]	train's auc: 0.794781	valid1's auc: 0.734164
[332]	train's auc: 0.794936	valid1's auc: 0.734157
[333]	train's auc: 0.795068	valid1's auc: 0.734158
[334]	train's auc: 0.795215	valid1's auc: 0.734169
[335]	train's auc: 0.795429	valid1's auc: 0.734222
[336]	train's auc: 0.795556	valid1's auc: 0.734227
[337]	train's auc: 0.795746	valid1's auc: 0.734207
[338]	train's auc: 0.795904	valid1's auc: 0.734186
[339]	train's auc: 0.796057	valid1's auc: 0.734204
[340]	train's auc: 0.796152	valid1's auc: 0.734196
[341]	train's auc: 0.796267	valid1's auc: 0.734201
[342]	train's auc: 0.796401	valid1's auc: 0.734215
[343]	train's auc: 0.796453	valid1's auc: 0.734205
[344]	train's auc: 0.79663	valid1's auc: 0.734197
[345]	train's auc: 0.796854	valid1's auc: 0.734171
[346]	train's auc: 0.797092	valid1's auc: 0.73419
[347]	train's auc: 0.79718	valid1's auc: 0.734181
[348]	train's auc: 0.797421	valid1's auc: 0.73423
[349]	train's auc: 0.797543	valid1's auc: 0.734233
[350]	train's auc: 0.797625	valid1's auc: 0.734229
[351]	train's auc: 0.797766	valid1's auc: 0.734212
[352]	train's auc: 0.797854	valid1's auc: 0.734204
[353]	train's auc: 0.798028	valid1's auc: 0.734207
Early stopping, best iteration is:
[303]	train's auc: 0.790878	valid1's auc: 0.734301
