auc,init_stdev,l2_reg,l2_reg_V,l2_reg_w,n_iter,random_state,rank,step_size
0.556799,0.0010128,,0.0712941,9.17e-05,988,123,79,0.1354935
0.556691,0.0121284,,3.39e-05,0.0854087,7309,123,40,0.0271865
0.556649,0.0239928,,1e-05,0.0014445,9567,123,6,0.0105081
0.55654,0.0015418,,0.0757628,0.0003921,2365,123,57,0.130309
0.556517,0.0086214,,0.0004845,0.0002198,2726,123,70,0.0896934
0.556478,0.0026785,,0.0712643,8.89e-05,7825,123,195,0.09854
0.556359,0.0047559,,0.0006192,4.39e-05,2703,123,96,0.0384642
0.55633,0.0012628,,1.84e-05,6.23e-05,4640,123,60,0.086966
0.556273,0.0017485,,0.0039567,1.01e-05,5331,123,60,0.0706011
0.556257,0.0029492,,0.0111094,0.0001648,3858,123,69,0.1249425
0.556256,0.0315496,,1.94e-05,79.8196365,5541,123,59,0.013908
0.55625,0.0622287,,0.3374413,0.0004626,2412,123,80,0.0268501
0.556217,0.0031959,,0.000157,4.42e-05,1041,123,97,0.2620563
0.556109,0.0214055,,0.0011046,13.0606766,4575,123,210,0.0395265
0.556104,0.0012536,,0.0019123,0.0001258,3960,123,122,0.1235723
0.556077,0.1039754,,5.08e-05,0.000375,3146,123,76,0.0321652
0.556058,0.0010296,,0.0076029,1.79e-05,2300,123,135,0.150566
0.55594,0.0576735,,0.0008597,0.0457545,5838,123,41,0.0204082
0.555804,0.031671,,1.67e-05,0.0003178,8612,123,8,0.0109572
0.55579,0.0054554,,0.0016709,0.0008318,2956,123,13,0.249765
0.555644,0.0041736,,0.0012913,0.0003789,2760,123,134,0.1151154
0.555623,0.0123073,,4.800515,0.0232465,2050,123,25,0.0506617
0.555578,0.0011548,,8.18e-05,0.0001666,2551,123,112,0.1880778
0.555475,0.0682098,,0.9959644,0.002583,3056,123,23,0.0209797
0.55546,0.1501144,,0.8035423,0.1851064,3168,123,4,0.0464312
0.555405,0.002261,,0.0188485,0.000179,5837,123,75,0.0539569
0.555339,0.0021514,,0.0033884,0.0009104,4151,123,141,0.0903507
0.555317,0.0056681,,0.3474048,0.0019035,671,123,205,0.136113
0.555295,0.051652,,4.9e-05,0.0433344,919,123,11,0.0946449
0.555266,0.0020347,,0.0001856,1.38e-05,7876,123,37,0.1015452
0.555191,0.0172498,,1.4e-05,0.0016912,6506,123,8,0.0110332
0.555092,0.0013292,,0.0030005,3.41e-05,921,123,64,0.0931343
0.554983,0.0411717,,1.3348172,0.0109102,3948,123,66,0.0123185
0.554924,0.0014596,,0.0198174,3.19e-05,800,123,99,0.1353523
0.554784,0.0252272,,8.02e-05,6.22e-05,4433,123,3,0.0119945
0.554658,0.0020137,,0.0001318,0.0554683,7049,123,18,0.0150928
0.554647,0.254179,,0.1958644,0.0001326,3349,123,52,0.1542258
